image,A,B,C,D,label
ISIC_0011129,0.19,3.01,0.14,0.69,1
ISIC_0000278,0.18,1.19,0.13,0.7,0
ISIC_0015991,0.2,22.03,0.26,0.76,1
ISIC_0001184,0.16,1.18,0.06,0.67,1
ISIC_0001152,0.33,1.89,0.27,0.85,0
ISIC_0014500,0.12,1.15,0.06,0.63,2
ISIC_0000487,0.29,1.28,0.15,0.66,0
ISIC_0001427,0.17,2.78,0.09,0.62,1
ISIC_0012448,0.12,1.25,0.09,0.7,2
ISIC_0000448,0.13,1.35,0.23,0.67,1
ISIC_0011082,0.32,2.77,0.28,0.71,1
ISIC_0007241,0.11,1.18,0.21,0.7,1
ISIC_0014661,0.07,1.68,0.19,0.69,1
ISIC_0012210,0.27,2.42,0.05,0.66,2
ISIC_0000364,0.16,1.48,0.24,0.65,1
ISIC_0010441,0.09,1.14,0.15,0.65,0
ISIC_0000177,0.16,1.24,0.27,0.69,1
ISIC_0014783,0.13,2.02,0.19,0.73,1
ISIC_0014637,0.19,1.22,0.21,0.62,2
ISIC_0001267,0.27,4.76,0.16,0.66,1
ISIC_0013489,0.17,1.82,0.18,0.67,1
ISIC_0014963,0.12,23.73,0.22,0.79,0
ISIC_0013554,0.18,1.56,0.14,0.68,1
ISIC_0013549,0.1,1.21,0.21,0.67,0
ISIC_0000071,0.18,1.76,0.11,0.7,1
ISIC_0010005,0.14,1.43,0.29,0.83,1
ISIC_0013911,0.29,9.63,0.1,0.59,1
ISIC_0000169,0.32,1.66,0.22,0.62,0
ISIC_0013501,0.15,1.24,0.15,0.68,0
ISIC_0015158,0.29,1.65,0.29,0.62,2
ISIC_0010347,0.22,1.46,0.21,0.72,1
ISIC_0011127,0.28,4.2,0.32,0.65,1
ISIC_0012151,0.19,1.81,0.15,0.7,0
ISIC_0005247,0.24,1.29,0.12,0.69,1
ISIC_0000268,0.07,1.25,0.14,0.78,1
ISIC_0013121,0.18,1.9,0.17,0.63,1
ISIC_0000001,0.15,2.66,0.22,0.62,1
ISIC_0015132,0.13,1.2,0.34,0.68,0
ISIC_0012705,0.65,9.67,0.2,0.61,2
ISIC_0000535,0.19,2.78,0.25,0.68,1
ISIC_0012333,0.33,1.94,0.2,0.68,1
ISIC_0000477,0.15,1.18,0.15,0.68,1
ISIC_0008600,0.14,2.34,0.14,0.74,1
ISIC_0012548,0.06,1.14,0.18,0.6,2
ISIC_0012335,0.2,1.76,0.16,0.67,1
ISIC_0010174,0.22,1.21,0.22,0.61,0
ISIC_0012989,0.15,1.17,0.27,0.69,0
ISIC_0012965,0.14,1.68,0.33,0.62,1
ISIC_0000372,0.19,1.22,0.25,0.7,1
ISIC_0000003,0.23,2.04,0.27,0.61,1
ISIC_0014806,0.12,1.89,0.27,0.67,2
ISIC_0000264,0.18,1.34,0.26,0.69,1
ISIC_0013493,0.43,18.11,0.13,0.67,2
ISIC_0013987,0.09,1.16,0.11,0.61,0
ISIC_0000407,0.17,1.58,0.13,0.7,1
ISIC_0012232,0.25,1.66,0.16,0.72,1
ISIC_0012950,0.1,1.62,0.14,0.66,1
ISIC_0012737,0.13,1.59,0.13,0.66,1
ISIC_0000396,0.14,1.16,0.2,0.65,1
ISIC_0014583,0.1,4.92,0.15,0.64,2
ISIC_0010022,0.11,1.37,0.3,0.82,1
ISIC_0010439,0.25,1.77,0.26,0.65,1
ISIC_0000201,0.11,1.23,0.35,0.66,1
ISIC_0013997,0.17,1.72,0.12,0.65,0
ISIC_0013663,0.42,2.78,0.09,0.69,0
ISIC_0012526,0.13,1.74,0.1,0.65,1
ISIC_0015298,0.11,16.46,0.41,0.65,1
ISIC_0000133,0.14,1.17,0.21,0.64,1
ISIC_0000474,0.21,6.68,0.24,0.72,1
ISIC_0014076,0.17,1.89,0.11,0.72,0
ISIC_0015208,0.19,17.33,0.31,0.63,1
ISIC_0014395,0.25,1.94,0.08,0.63,0
ISIC_0014855,0.27,2.19,0.23,0.73,1
ISIC_0009932,0.32,3.27,0.26,0.79,1
ISIC_0011296,0.37,4.62,0.14,0.66,1
ISIC_0000365,0.09,1.18,0.28,0.57,1
ISIC_0014317,0.17,1.81,0.16,0.69,1
ISIC_0000316,0.1,1.23,0.21,0.73,1
ISIC_0013816,0.08,1.27,0.12,0.66,1
ISIC_0014966,0.27,97.08,0.31,0.71,1
ISIC_0001247,0.09,1.25,0.14,0.67,1
ISIC_0000548,0.35,3.58,0.12,0.66,0
ISIC_0014825,0.11,1.82,0.29,0.67,1
ISIC_0009998,0.08,1.15,0.42,0.6,1
ISIC_0000170,0.26,1.37,0.37,0.74,0
ISIC_0009945,0.2,1.21,0.16,0.67,1
ISIC_0013172,0.12,1.85,0.21,0.74,1
ISIC_0000509,0.16,3.53,0.15,0.74,1
ISIC_0000007,0.1,1.68,0.21,0.67,1
ISIC_0000214,0.42,1.87,0.4,0.77,1
ISIC_0015150,0.32,58.81,0.31,0.7,1
ISIC_0016050,0.21,6.36,0.21,0.66,1
ISIC_0014099,0.37,18.78,0.12,0.69,0
ISIC_0000236,0.11,2.18,0.31,0.69,1
ISIC_0009925,0.16,1.19,0.24,0.66,1
ISIC_0001163,0.2,2.4,0.09,0.6,1
ISIC_0013639,0.22,1.81,0.21,0.63,0
ISIC_0014511,0.15,1.26,0.15,0.74,1
ISIC_0011104,0.11,1.27,0.26,0.73,1
ISIC_0012660,0.2,2.0,0.2,0.7,1
ISIC_0010576,0.32,5.53,0.24,0.76,0
ISIC_0013494,0.12,1.85,0.11,0.71,1
ISIC_0003056,0.15,1.31,0.22,0.69,1
ISIC_0010357,0.17,1.2,0.23,0.63,1
ISIC_0006612,0.09,1.17,0.13,0.64,1
ISIC_0000476,0.31,7.2,0.27,0.89,1
ISIC_0015964,0.06,1.15,0.26,0.65,1
ISIC_0015330,0.21,36.72,0.3,0.61,1
ISIC_0013670,0.19,3.88,0.22,0.67,1
ISIC_0014190,0.96,29.17,0.07,0.7,0
ISIC_0012844,0.25,1.98,0.18,0.7,1
ISIC_0010034,0.19,2.59,0.21,0.63,0
ISIC_0000466,0.2,5.23,0.23,0.79,0
ISIC_0015357,0.11,1.16,0.29,0.62,1
ISIC_0000096,0.15,1.26,0.2,0.65,1
ISIC_0013457,0.07,1.13,0.16,0.64,0
ISIC_0015233,0.21,1.26,0.33,0.68,2
ISIC_0014829,0.23,1.84,0.22,0.68,1
ISIC_0000545,0.11,1.24,0.26,0.76,1
ISIC_0012233,0.1,1.52,0.09,0.66,1
ISIC_0012672,0.15,1.8,0.16,0.75,1
ISIC_0000366,0.2,6.13,0.29,0.62,1
ISIC_0010567,0.19,3.75,0.26,0.65,1
ISIC_0013248,0.13,1.65,0.24,0.6,1
ISIC_0013397,0.1,1.16,0.17,0.62,2
ISIC_0015944,0.3,16.43,0.13,0.61,1
ISIC_0014726,0.24,1.57,0.22,0.72,1
ISIC_0012674,0.16,1.94,0.13,0.69,1
ISIC_0014745,0.24,1.8,0.31,0.67,1
ISIC_0013045,0.28,7.23,0.17,0.7,1
ISIC_0013527,0.21,1.38,0.18,0.73,1
ISIC_0000352,0.14,1.2,0.25,0.67,1
ISIC_0010074,0.23,1.26,0.21,0.67,1
ISIC_0014273,0.23,1.95,0.06,0.61,2
ISIC_0015035,0.25,8.96,0.34,0.69,1
ISIC_0000222,0.15,2.93,0.27,0.67,1
ISIC_0009953,0.2,1.34,0.3,0.74,1
ISIC_0000340,0.15,1.22,0.27,0.66,1
ISIC_0000107,0.29,4.09,0.28,0.68,1
ISIC_0000242,0.22,4.04,0.24,0.75,1
ISIC_0000176,0.15,4.11,0.24,0.69,0
ISIC_0009533,0.25,4.89,0.11,0.71,1
ISIC_0011220,0.34,4.89,0.23,0.59,1
ISIC_0014635,0.18,1.4,0.09,0.73,2
ISIC_0010028,0.15,2.2,0.2,0.64,1
ISIC_0009955,0.36,1.39,0.23,0.64,0
ISIC_0009899,0.13,1.26,0.09,0.7,1
ISIC_0014928,0.15,32.28,0.28,0.68,0
ISIC_0001100,0.25,1.36,0.32,0.69,0
ISIC_0012351,0.35,1.81,0.18,0.6,1
ISIC_0010336,0.23,1.31,0.28,0.63,1
ISIC_0012814,0.21,1.8,0.1,0.73,1
ISIC_0000231,0.09,2.67,0.24,0.69,1
ISIC_0000034,0.14,3.36,0.21,0.71,1
ISIC_0011090,0.04,1.2,0.14,0.7,1
ISIC_0010483,0.36,4.11,0.26,0.66,1
ISIC_0012704,0.12,1.66,0.07,0.62,2
ISIC_0014434,0.13,1.19,0.07,0.66,0
ISIC_0014677,0.13,1.21,0.21,0.66,1
ISIC_0000532,0.2,2.69,0.33,0.75,1
ISIC_0000326,0.28,1.42,0.26,0.64,1
ISIC_0009909,0.09,1.21,0.19,0.66,1
ISIC_0010598,0.14,1.99,0.21,0.61,1
ISIC_0014028,0.15,1.74,0.22,0.75,2
ISIC_0014108,0.35,1.46,0.13,0.67,0
ISIC_0015411,0.11,15.16,0.33,0.61,1
ISIC_0000035,0.11,2.43,0.17,0.66,0
ISIC_0013226,0.28,16.06,0.09,0.72,1
ISIC_0014739,0.21,2.26,0.37,0.67,1
ISIC_0000129,0.14,3.92,0.25,0.69,1
ISIC_0012806,0.12,1.15,0.07,0.66,1
ISIC_0013012,0.4,1.93,0.13,0.66,1
ISIC_0014746,0.1,15.26,0.25,0.7,1
ISIC_0013807,0.13,1.57,0.12,0.67,1
ISIC_0000018,0.16,3.4,0.18,0.7,1
ISIC_0015244,0.24,55.82,0.21,0.73,1
ISIC_0012883,0.1,1.62,0.14,0.65,1
ISIC_0013500,0.19,1.83,0.14,0.72,0
ISIC_0012260,0.15,1.75,0.14,0.65,1
ISIC_0010009,0.27,2.17,0.23,0.68,1
ISIC_0012517,0.14,1.21,0.08,0.64,2
ISIC_0011292,0.31,3.49,0.33,0.68,1
ISIC_0014911,0.06,1.17,0.37,0.64,1
ISIC_0000255,0.11,2.26,0.18,0.7,1
ISIC_0000327,0.13,1.23,0.29,0.66,1
ISIC_0012681,0.13,1.63,0.32,0.69,1
ISIC_0000261,0.1,1.5,0.18,0.61,1
ISIC_0010850,0.09,1.16,0.19,0.64,1
ISIC_0014788,0.33,9.91,0.27,0.7,0
ISIC_0012702,0.14,1.18,0.14,0.65,1
ISIC_0015945,0.23,7.55,0.16,0.74,1
ISIC_0012450,0.14,1.76,0.12,0.77,0
ISIC_0010367,0.13,1.17,0.27,0.63,1
ISIC_0013775,0.09,1.66,0.18,0.64,0
ISIC_0015953,0.22,1.32,0.17,0.67,1
ISIC_0010003,0.2,1.79,0.29,0.69,1
ISIC_0016045,0.15,5.89,0.19,0.66,1
ISIC_0011084,0.2,1.25,0.14,0.66,1
ISIC_0012224,0.06,1.19,0.09,0.62,2
ISIC_0014869,0.18,2.09,0.27,0.62,1
ISIC_0014366,0.32,2.24,0.13,0.72,0
ISIC_0009928,0.16,1.18,0.22,0.68,1
ISIC_0014129,0.06,1.13,0.09,0.6,0
ISIC_0014547,0.11,1.17,0.09,0.69,1
ISIC_0012406,0.16,1.8,0.11,0.62,1
ISIC_0009884,0.23,2.11,0.24,0.61,1
ISIC_0010581,0.35,3.7,0.14,0.69,1
ISIC_0015082,0.28,1.98,0.22,0.76,0
ISIC_0010032,0.26,3.51,0.22,0.72,1
ISIC_0001118,0.22,1.41,0.29,0.8,0
ISIC_0011294,0.39,4.43,0.25,0.73,1
ISIC_0012148,0.23,2.28,0.18,0.72,1
ISIC_0000163,0.3,1.39,0.46,0.7,0
ISIC_0012739,0.17,1.53,0.19,0.65,1
ISIC_0013831,0.17,1.73,0.22,0.74,0
ISIC_0010571,0.12,2.33,0.23,0.62,1
ISIC_0001449,0.27,2.77,0.17,0.65,1
ISIC_0013867,0.14,1.18,0.07,0.7,0
ISIC_0000427,0.27,2.75,0.32,0.61,1
ISIC_0009891,0.16,2.23,0.16,0.77,1
ISIC_0001119,0.16,1.39,0.27,0.78,0
ISIC_0010860,0.15,2.23,0.23,0.68,0
ISIC_0009910,0.13,1.52,0.36,0.84,0
ISIC_0011124,0.29,2.66,0.19,0.66,1
ISIC_0011159,0.12,1.23,0.25,0.78,1
ISIC_0010339,0.32,2.91,0.3,0.72,1
ISIC_0011176,0.19,2.93,0.33,0.59,0
ISIC_0014601,0.14,1.21,0.17,0.7,2
ISIC_0010066,0.18,2.85,0.24,0.69,1
ISIC_0015468,0.35,56.37,0.28,0.62,1
ISIC_0012549,0.26,1.79,0.16,0.67,1
ISIC_0012134,0.34,1.22,0.09,0.79,2
ISIC_0013437,0.16,1.88,0.08,0.66,1
ISIC_0000234,0.09,1.16,0.29,0.64,1
ISIC_0013588,0.18,1.26,0.14,0.66,0
ISIC_0011363,0.08,1.23,0.3,0.74,1
ISIC_0012257,0.25,2.03,0.14,0.61,1
ISIC_0013680,0.07,1.17,0.05,0.66,2
ISIC_0000024,0.11,1.19,0.1,0.56,1
ISIC_0013065,0.23,4.87,0.16,0.69,2
ISIC_0013561,0.15,1.24,0.12,0.7,1
ISIC_0010322,0.35,1.35,0.16,0.7,0
ISIC_0014883,0.28,16.23,0.4,0.78,0
ISIC_0011107,0.16,1.23,0.29,0.69,1
ISIC_0010173,0.09,1.19,0.17,0.66,1
ISIC_0014975,0.12,1.53,0.19,0.71,0
ISIC_0012852,0.08,1.14,0.07,0.61,2
ISIC_0000246,0.23,3.55,0.14,0.65,1
ISIC_0000102,0.14,1.22,0.17,0.64,1
ISIC_0013737,0.13,1.63,0.14,0.66,1
ISIC_0013326,0.14,1.17,0.12,0.65,1
ISIC_0015224,0.26,1.24,0.25,0.77,1
ISIC_0015568,0.15,1.23,0.37,0.68,1
ISIC_0000426,0.24,1.51,0.39,0.85,1
ISIC_0000181,0.11,1.18,0.3,0.68,1
ISIC_0013233,0.4,4.08,0.17,0.68,1
ISIC_0015046,0.41,29.46,0.26,0.65,0
ISIC_0000397,0.41,1.54,0.19,0.6,1
ISIC_0011170,0.17,1.41,0.32,0.75,1
ISIC_0000156,0.22,1.47,0.3,0.77,0
ISIC_0013696,0.09,1.14,0.26,0.64,0
ISIC_0015983,0.72,32.45,0.09,0.77,1
ISIC_0009298,0.09,1.18,0.16,0.65,1
ISIC_0000306,0.2,6.07,0.14,0.62,0
ISIC_0000297,0.08,1.14,0.3,0.61,0
ISIC_0010496,0.3,3.6,0.16,0.65,1
ISIC_0010606,0.15,2.37,0.3,0.71,1
ISIC_0008626,0.19,12.38,0.14,0.71,1
ISIC_0012789,0.31,8.62,0.1,0.68,1
ISIC_0000423,0.11,2.31,0.21,0.66,1
ISIC_0001186,0.21,1.59,0.12,0.63,1
ISIC_0014430,0.16,1.88,0.18,0.64,1
ISIC_0014951,0.36,1.87,0.26,0.67,0
ISIC_0013767,0.07,1.22,0.12,0.67,0
ISIC_0016051,0.1,5.17,0.18,0.64,1
ISIC_0010249,0.08,1.26,0.22,0.72,1
ISIC_0011219,0.12,2.28,0.31,0.69,1
ISIC_0014365,0.12,1.81,0.12,0.72,1
ISIC_0000060,0.08,1.12,0.31,0.65,1
ISIC_0011169,0.14,1.32,0.33,0.72,0
ISIC_0010257,0.07,1.19,0.16,0.66,1
ISIC_0007141,0.06,1.17,0.2,0.65,1
ISIC_0014891,0.12,1.92,0.33,0.72,0
ISIC_0014419,0.12,1.26,0.07,0.69,2
ISIC_0008029,0.15,1.21,0.2,0.66,1
ISIC_0000360,0.1,1.18,0.19,0.61,1
ISIC_0010247,0.4,4.26,0.25,0.65,1
ISIC_0013104,0.17,2.16,0.15,0.71,1
ISIC_0001306,0.11,1.17,0.08,0.63,1
ISIC_0014685,0.14,1.63,0.33,0.7,1
ISIC_0013499,0.19,1.91,0.14,0.64,0
ISIC_0000134,0.14,1.31,0.28,0.73,1
ISIC_0010477,0.36,1.31,0.17,0.75,1
ISIC_0013797,0.26,1.92,0.18,0.59,1
ISIC_0011130,0.38,4.4,0.12,0.71,0
ISIC_0012665,0.12,1.74,0.15,0.7,1
ISIC_0012539,0.13,1.66,0.1,0.66,1
ISIC_0000418,0.2,1.64,0.21,0.76,1
ISIC_0010222,0.19,1.26,0.21,0.82,1
ISIC_0013618,0.3,28.35,0.08,0.72,0
ISIC_0015003,0.35,1.45,0.35,0.73,1
ISIC_0000391,0.08,1.15,0.13,0.62,1
ISIC_0013330,0.26,1.82,0.17,0.6,1
ISIC_0012445,0.28,4.07,0.17,0.64,1
ISIC_0000249,0.16,2.13,0.13,0.69,1
ISIC_0015987,0.3,26.86,0.14,0.71,1
ISIC_0013553,0.23,1.83,0.15,0.64,1
ISIC_0012758,0.16,2.85,0.36,0.68,0
ISIC_0015641,0.13,6.54,0.17,0.63,1
ISIC_0008347,0.1,1.35,0.05,0.74,1
ISIC_0012246,0.09,1.62,0.11,0.62,1
ISIC_0009919,0.2,1.4,0.29,0.7,1
ISIC_0009881,0.22,2.3,0.23,0.63,1
ISIC_0012143,0.27,1.99,0.12,0.6,2
ISIC_0013634,0.08,1.16,0.13,0.64,0
ISIC_0000552,0.19,2.49,0.28,0.63,0
ISIC_0014987,0.23,2.15,0.22,0.57,0
ISIC_0012259,0.29,1.94,0.12,0.65,1
ISIC_0013217,0.24,3.57,0.18,0.63,1
ISIC_0014749,0.19,19.41,0.27,0.68,1
ISIC_0013360,0.09,1.16,0.07,0.63,2
ISIC_0010566,0.14,1.19,0.26,0.64,1
ISIC_0000054,0.21,3.02,0.2,0.62,0
ISIC_0014502,0.26,1.95,0.09,0.62,1
ISIC_0001423,0.15,1.21,0.09,0.65,1
ISIC_0012342,0.31,1.4,0.09,0.64,2
ISIC_0013580,0.17,1.57,0.11,0.65,2
ISIC_0014664,0.08,1.16,0.23,0.64,1
ISIC_0015544,0.2,21.04,0.21,0.81,1
ISIC_0007475,0.08,1.26,0.11,0.72,1
ISIC_0012135,0.16,4.31,0.16,0.65,1
ISIC_0010202,0.23,1.75,0.19,0.72,1
ISIC_0012518,0.11,1.37,0.06,0.74,1
ISIC_0012511,0.17,1.7,0.2,0.75,1
ISIC_0010474,0.16,2.45,0.26,0.72,1
ISIC_0013432,0.21,1.68,0.2,0.71,1
ISIC_0012671,0.27,7.35,0.16,0.67,1
ISIC_0000543,0.11,1.87,0.17,0.62,1
ISIC_0010255,0.2,1.41,0.24,0.64,1
ISIC_0000199,0.08,2.55,0.29,0.64,1
ISIC_0000263,0.22,2.17,0.48,0.64,1
ISIC_0016027,0.31,13.11,0.1,0.67,1
ISIC_0013488,0.14,1.15,0.19,0.61,1
ISIC_0015167,0.19,69.05,0.32,0.61,0
ISIC_0000046,0.2,3.21,0.15,0.7,0
ISIC_0012722,0.22,8.73,0.16,0.62,1
ISIC_0012332,0.12,1.64,0.19,0.64,1
ISIC_0011157,0.17,2.11,0.27,0.62,1
ISIC_0006815,0.29,8.81,0.07,0.58,1
ISIC_0010057,0.09,1.2,0.13,0.59,1
ISIC_0016058,0.18,1.27,0.09,0.7,1
ISIC_0013428,0.24,1.97,0.09,0.68,1
ISIC_0015176,0.21,1.17,0.31,0.66,1
ISIC_0015965,0.21,7.23,0.22,0.7,1
ISIC_0000556,0.2,3.6,0.18,0.7,1
ISIC_0013684,0.2,1.18,0.1,0.65,2
ISIC_0000460,0.15,3.5,0.2,0.73,1
ISIC_0015163,0.16,1.29,0.35,0.75,0
ISIC_0012261,0.11,1.2,0.06,0.68,1
ISIC_0014844,0.2,34.35,0.26,0.68,1
ISIC_0016065,0.28,16.0,0.15,0.63,1
ISIC_0005620,0.18,1.19,0.17,0.66,1
ISIC_0014992,0.09,16.89,0.23,0.65,1
ISIC_0012329,0.1,1.24,0.09,0.66,2
ISIC_0013804,0.16,1.61,0.15,0.67,1
ISIC_0016072,0.15,1.17,0.07,0.63,1
ISIC_0013213,0.18,1.87,0.1,0.62,1
ISIC_0000370,0.14,1.15,0.32,0.67,1
ISIC_0014284,0.26,12.2,0.15,0.63,0
ISIC_0013166,0.15,1.85,0.22,0.63,2
ISIC_0015078,0.17,1.22,0.24,0.68,1
ISIC_0011338,0.24,1.28,0.14,0.71,1
ISIC_0013839,0.14,1.58,0.17,0.71,0
ISIC_0008294,0.25,1.3,0.08,0.72,1
ISIC_0010595,0.2,1.23,0.26,0.69,1
ISIC_0000999,0.27,11.18,0.17,0.63,1
ISIC_0013925,0.12,1.18,0.26,0.67,0
ISIC_0000550,0.15,3.24,0.25,0.71,0
ISIC_0012201,0.14,1.83,0.19,0.64,1
ISIC_0003462,0.08,1.19,0.2,0.68,1
ISIC_0010054,0.12,1.29,0.12,0.7,0
ISIC_0014667,0.09,1.75,0.13,0.59,1
ISIC_0015149,0.3,47.41,0.28,0.66,1
ISIC_0005000,0.11,5.09,0.13,0.66,1
ISIC_0010021,0.18,1.18,0.33,0.69,1
ISIC_0000547,0.32,1.5,0.15,0.7,0
ISIC_0012932,0.16,1.48,0.09,0.75,2
ISIC_0013242,0.18,1.2,0.2,0.66,0
ISIC_0000527,0.16,1.58,0.25,0.67,1
ISIC_0015951,0.26,7.85,0.2,0.66,1
ISIC_0009929,0.13,1.73,0.31,0.71,1
ISIC_0013090,0.2,1.78,0.14,0.63,1
ISIC_0014221,0.1,1.21,0.14,0.69,0
ISIC_0012682,0.11,1.64,0.25,0.69,1
ISIC_0014890,0.11,1.72,0.23,0.63,1
ISIC_0009980,0.27,1.18,0.26,0.78,1
ISIC_0012221,0.1,1.54,0.17,0.62,1
ISIC_0013568,0.22,1.91,0.25,0.68,1
ISIC_0012697,0.12,1.61,0.12,0.73,2
ISIC_0012282,0.21,1.82,0.04,0.68,2
ISIC_0015113,0.12,1.69,0.23,0.61,2
ISIC_0014898,0.14,1.94,0.27,0.69,1
ISIC_0000465,0.14,2.66,0.15,0.68,1
ISIC_0009930,0.17,2.29,0.26,0.75,1
ISIC_0012204,0.26,1.31,0.1,0.6,2
ISIC_0010455,0.1,1.33,0.24,0.81,1
ISIC_0010191,0.29,1.68,0.22,0.8,1
ISIC_0013461,0.04,1.18,0.08,0.65,1
ISIC_0014410,0.21,1.88,0.15,0.7,2
ISIC_0013335,0.16,1.9,0.1,0.61,2
ISIC_0013124,0.08,1.18,0.13,0.58,1
ISIC_0000390,0.16,1.33,0.39,0.76,0
ISIC_0014290,0.09,1.63,0.15,0.61,0
ISIC_0015614,0.5,53.03,0.22,0.7,1
ISIC_0013160,0.24,1.27,0.14,0.62,2
ISIC_0016015,0.14,1.16,0.19,0.63,1
ISIC_0010081,0.15,1.17,0.17,0.67,0
ISIC_0010240,0.33,6.16,0.14,0.64,0
ISIC_0013294,0.18,1.8,0.22,0.7,1
ISIC_0010002,0.08,1.18,0.11,0.67,1
ISIC_0015436,0.08,1.28,0.37,0.72,1
ISIC_0016035,0.15,1.2,0.05,0.78,1
ISIC_0013084,0.08,1.75,0.15,0.74,1
ISIC_0015412,0.12,1.21,0.29,0.71,1
ISIC_0013433,0.08,1.62,0.14,0.64,1
ISIC_0014862,0.34,69.53,0.24,0.78,0
ISIC_0012880,0.16,7.07,0.08,0.62,2
ISIC_0000511,0.38,6.02,0.17,0.75,0
ISIC_0016022,0.22,9.4,0.15,0.63,1
ISIC_0012683,0.18,1.45,0.23,0.74,1
ISIC_0011323,0.27,3.88,0.23,0.83,1
ISIC_0013369,0.23,4.91,0.11,0.66,1
ISIC_0000449,0.24,2.28,0.28,0.67,1
ISIC_0015156,0.45,98.89,0.19,0.76,0
ISIC_0014529,0.14,1.58,0.17,0.64,1
ISIC_0016037,0.11,1.26,0.07,0.72,1
ISIC_0015978,0.11,1.18,0.09,0.64,1
ISIC_0013738,0.21,9.74,0.17,0.64,1
ISIC_0000298,0.18,7.38,0.17,0.64,0
ISIC_0013487,0.27,3.68,0.23,0.77,1
ISIC_0012659,0.13,1.55,0.13,0.72,1
ISIC_0014311,0.22,1.89,0.16,0.64,2
ISIC_0009934,0.22,1.37,0.22,0.77,0
ISIC_0014506,0.06,1.2,0.09,0.66,0
ISIC_0000439,0.19,1.21,0.29,0.61,1
ISIC_0000339,0.08,1.15,0.19,0.65,1
ISIC_0014624,0.35,2.02,0.22,0.72,2
ISIC_0015140,0.13,35.17,0.18,0.78,1
ISIC_0001131,0.4,1.73,0.38,0.69,0
ISIC_0014792,0.13,11.94,0.18,0.63,1
ISIC_0014518,0.09,1.22,0.18,0.7,0
ISIC_0015947,0.12,1.23,0.14,0.66,1
ISIC_0001181,0.39,8.28,0.08,0.63,1
ISIC_0015607,0.34,1.74,0.2,0.64,1
ISIC_0010228,0.25,1.23,0.26,0.88,1
ISIC_0001148,0.28,3.43,0.2,0.58,0
ISIC_0012823,0.16,1.66,0.26,0.67,1
ISIC_0002438,0.25,6.03,0.16,0.64,1
ISIC_0014860,0.24,1.51,0.29,0.62,1
ISIC_0013490,0.14,1.93,0.13,0.69,0
ISIC_0013585,0.37,2.6,0.09,0.68,2
ISIC_0013617,0.21,1.32,0.15,0.68,0
ISIC_0010562,0.08,1.15,0.21,0.64,1
ISIC_0013187,0.15,1.85,0.1,0.71,1
ISIC_0015057,0.11,1.19,0.27,0.65,1
ISIC_0013721,0.08,1.21,0.09,0.66,1
ISIC_0011341,0.22,3.13,0.35,0.67,1
ISIC_0013203,0.1,1.17,0.1,0.66,2
ISIC_0000009,0.19,2.46,0.2,0.7,1
ISIC_0014133,0.14,1.73,0.15,0.68,0
ISIC_0000204,0.16,1.22,0.38,0.69,1
ISIC_0010212,0.25,3.86,0.2,0.72,1
ISIC_0013910,0.26,1.58,0.18,0.71,2
ISIC_0000436,0.06,1.17,0.21,0.71,1
ISIC_0013227,0.21,1.73,0.08,0.64,1
ISIC_0000265,0.33,1.35,0.2,0.64,1
ISIC_0013970,0.15,1.66,0.22,0.7,1
ISIC_0010585,0.23,3.03,0.28,0.59,1
ISIC_0000113,0.09,1.15,0.15,0.67,1
ISIC_0015973,0.09,1.17,0.15,0.71,1
ISIC_0010344,0.25,3.49,0.17,0.7,1
ISIC_0010038,0.23,1.21,0.21,0.75,1
ISIC_0014808,0.18,1.83,0.31,0.65,1
ISIC_0013958,0.44,1.58,0.21,0.66,2
ISIC_0013197,0.22,1.67,0.16,0.71,1
ISIC_0014249,0.41,2.64,0.17,0.71,0
ISIC_0000357,0.17,1.28,0.36,0.61,1
ISIC_0000212,0.11,1.18,0.38,0.78,1
ISIC_0000380,0.18,1.49,0.3,0.7,1
ISIC_0013070,0.34,4.29,0.15,0.65,1
ISIC_0014291,0.11,1.25,0.15,0.65,0
ISIC_0011112,0.16,1.21,0.34,0.77,0
ISIC_0011361,0.22,1.31,0.3,0.9,1
ISIC_0012228,0.11,1.22,0.11,0.66,1
ISIC_0015995,0.14,1.36,0.19,0.64,1
ISIC_0011366,0.16,1.19,0.2,0.66,0
ISIC_0011402,0.39,1.33,0.26,0.64,1
ISIC_0010239,0.22,1.17,0.23,0.7,1
ISIC_0000044,0.11,2.14,0.29,0.68,1
ISIC_0013837,0.15,1.55,0.26,0.67,1
ISIC_0012303,0.07,1.57,0.18,0.7,1
ISIC_0013946,0.31,1.39,0.08,0.65,1
ISIC_0012897,0.2,1.77,0.14,0.66,1
ISIC_0014157,0.44,2.37,0.08,0.66,0
ISIC_0007760,0.05,1.14,0.12,0.6,1
ISIC_0012969,0.12,1.25,0.18,0.69,1
ISIC_0000253,0.22,2.45,0.2,0.68,1
ISIC_0014728,0.08,16.37,0.22,0.67,1
ISIC_0014507,0.28,1.94,0.13,0.71,0
ISIC_0014619,0.11,1.18,0.11,0.68,2
ISIC_0014735,0.15,1.67,0.29,0.76,0
ISIC_0016013,0.05,1.19,0.15,0.67,1
ISIC_0012879,0.15,1.76,0.25,0.71,1
ISIC_0000315,0.16,1.24,0.25,0.64,1
ISIC_0011327,0.09,1.5,0.29,0.73,1
ISIC_0014386,0.13,1.19,0.13,0.69,2
ISIC_0014845,0.1,1.69,0.34,0.68,1
ISIC_0014657,0.16,1.7,0.25,0.69,1
